aac.sfsu.edu,SFS-d-aac-content-manager
"aapi.sfsu.edu,aspire.sfsu.edu",SFS-d-aapi-content-manager
aas.sfsu.edu,SFS-d-aas-content-manager
academic.sfsu.edu,SFS-d-academic-content-manager
academicresources.sfsu.edu,SFS-d-academicresources-content-manager
access.sfsu.edu,SFS-d-access-content-manager
accessalert.sfsu.edu,SFS-d-accessalert-content-manager
act.sfsu.edu,SFS-d-act-content-manager
activities.sfsu.edu,SFS-d-activities-content-manager
"itsecurity.sfsu.edu,itpolicy.sfsu.edu,adminfin.sfsu.edu,policiesandpracticedirectives.sfsu.edu",SFS-d-adminfin-content-manager
"advservices.sfsu.edu,advance.sfsu.edu",SFS-d-advance-content-manager
advising.sfsu.edu,SFS-d-advising-content-manager
advisinghub.sfsu.edu,SFS-d-advisinghub-content-manager
advisinglca.sfsu.edu,SFS-d-advisinglca-content-manager
affordablelearning.sfsu.edu,SFS-d-affordablelearning-content-manager
africana.sfsu.edu,SFS-d-africana-content-manager
alumni.sfsu.edu,SFS-d-alumni-content-manager
amed.sfsu.edu,SFS-d-amed-content-manager
anthropology.sfsu.edu,SFS-d-anthropology-content-manager
apiabiography.sfsu.edu,SFS-d-apiabiography-content-manager
"www.art.sfsu.edu,art.sfsu.edu,martinwong.sfsu.edu",SFS-d-art-content-manager
"ai.sfsu.edu,at.sfsu.edu",SFS-d-at-content-manager
autism.sfsu.edu,SFS-d-autism-content-manager
basicneeds.sfsu.edu,SFS-d-basicneeds-content-manager
"www.beca.sfsu.edu,ksfs.sfsu.edu,tvcenter.sfsu.edu,beca.sfsu.edu",SFS-d-beca-content-manager
"biology.sfsu.edu,climatehq.sfsu.edu",SFS-d-biology-content-manager
budget.sfsu.edu,SFS-d-budget-content-manager
bursar.sfsu.edu,SFS-d-bursar-content-manager
businessjapanese.sfsu.edu,SFS-d-businessjapanese-content-manager
"busops.sfsu.edu,riskandsafetyservices.sfsu.edu",SFS-d-busops-content-manager
cad.sfsu.edu,SFS-d-cad-content-manager
campusmemo.sfsu.edu,SFS-d-campusmemo-content-manager
campusrec.sfsu.edu,SFS-d-campusrec-content-manager
careergrad.sfsu.edu,SFS-d-careergrad-content-manager
"ctfd.sfsu.edu,qlt.sfsu.edu,qolt.sfsu.edu,wac.sfsu.edu,ceetl.sfsu.edu",SFS-d-ceetl-content-manager
"cpage.sfsu.edu,prehealth.sfsu.edu,sfsummer.sfsu.edu,ali.sfsu.edu,www.cpage.sfsu.edu,www.cel.sfsu.edu,cel.sfsu.edu",SFS-d-cel-content-manager
"meetings.sfsu.edu,ces.sfsu.edu,summerconf.sfsu.edu",SFS-d-ces-content-manager
"biochemistry.sfsu.edu,chembiochem.sfsu.edu,chemistry.sfsu.edu",SFS-d-chemistry-content-manager
childrenscampus.sfsu.edu,SFS-d-childrenscampus-content-manager
chss.sfsu.edu,SFS-d-chss-content-manager
"cids.sfsu.edu,ids.sfsu.edu",SFS-d-cids-content-manager
"cinema.sfsu.edu,www.cinema.sfsu.edu",SFS-d-cinema-content-manager
cj.sfsu.edu,SFS-d-cj-content-manager
classics.sfsu.edu,SFS-d-classics-content-manager
climate.sfsu.edu,SFS-d-climate-content-manager
cls.sfsu.edu,SFS-d-cls-content-manager
"businessanalytics.sfsu.edu,msa.sfsu.edu,erp.sfsu.edu,sustainablemba.sfsu.edu,execed.sfsu.edu,marketing.sfsu.edu,management.sfsu.edu,mba.sfsu.edu,finance.sfsu.edu,ds.sfsu.edu,labor-studies.sfsu.edu,nicemba.sfsu.edu,vista.sfsu.edu,accounting.sfsu.edu,vista-room.sfsu.edu,biotechmba.sfsu.edu,gbp.sfsu.edu,economics.sfsu.edu,ibus.sfsu.edu,htm.sfsu.edu,vistaroom.sfsu.edu,emba.sfsu.edu,cob.sfsu.edu,is.sfsu.edu",SFS-d-cob-content-manager
commencement.sfsu.edu,SFS-d-commencement-content-manager
commons.sfsu.edu,SFS-d-commons-content-manager
communicationstudies.sfsu.edu,SFS-d-communicationstudies-content-manager
"humcwl.sfsu.edu,complit.sfsu.edu",SFS-d-complit-content-manager
conduct.sfsu.edu,SFS-d-conduct-content-manager
"afm.sfsu.edu,gtac.sfsu.edu,cose.sfsu.edu,pinc.sfsu.edu,cssc.sfsu.edu,emfimage.sfsu.edu,catalyze.sfsu.edu,merl.sfsu.edu",SFS-d-cose-content-manager
counseling.sfsu.edu,SFS-d-counseling-content-manager
cpdc.sfsu.edu,SFS-d-cpdc-content-manager
"creativewriting.sfsu.edu,greenhouse.sfsu.edu",SFS-d-creativewriting-content-manager
cregs.sfsu.edu,SFS-d-cregs-content-manager
cs.sfsu.edu,SFS-d-cs-content-manager
"csld.sfsu.edu,career.sfsu.edu,careerservices.sfsu.edu",SFS-d-csld-content-manager
"csme.sfsu.edu,sfcall.sfsu.edu",SFS-d-csme-content-manager
csugis.sfsu.edu,SFS-d-csugis-content-manager
